课程名称,星期,开始节数,结束节数,老师,地点,周数
电路与电子I,1,3,4,罗天放,21B4115中,"2-5,7-9,11-14"
电路与电子I,3,3,4,罗天放,21B4115中,2-10
电路与电子I,2,1,2,戚连刚,电子电路智慧实验室3（21B2067、2069）,5
电路与电子I,2,1,2,戚连刚,电子电路智慧实验室3（21B2067、2069）,8
电路与电子I,2,1,2,戚连刚,电子电路智慧实验室3（21B2067、2069）,11
电路与电子I,2,1,2,戚连刚,电工电子实验室3(21B3065、3067),15
电路与电子I,2,1,2,戚连刚,电子电路智慧实验室3（21B2067、2069）,18
创新思维训练与实践——专业工程实践Ⅲ,6,11,13,侯长波,21B0071,"2-4,6-8"
创新思维训练与实践——专业工程实践Ⅲ,7,6,10,侯长波,21B0071,3-4
创新思维训练与实践——专业工程实践Ⅲ,7,6,9,侯长波,21B0071,6
大学英语（二）,1,6,7,孙卓敏,21B3107小,"2-5,7-9,11-18"
大学英语（二）,2,8,9,孙卓敏,21B3107小,17
体育（二）,4,3,4,鲍伟,篮球训练馆,2-17
中国近现代史纲要,2,8,10,黄丽,21B2104中,"2-9,11-16"
形势与政策,4,1,2,肖迪,21B0120中,"11,13,15,17"
工科数学分析（二）,2,3,5,夏云霏,21B2086中,2-7
工科数学分析（二）,2,3,5,王晓莺,21B2086中,"8-9,11-14,16-18"
工科数学分析（二）,2,11,13,王晓莺,21B3081中（沉浸）,16
工科数学分析（二）,5,3,5,夏云霏,21B2086中,2-6
工科数学分析（二）,5,3,5,王晓莺,21B2086中,"7-8,10"
概率论与数理统计,3,1,2,王立刚,21B2103中,"6-14,16-18"
概率论与数理统计,3,1,2,王立刚,21B4078中,15
概率论与数理统计,5,6,7,王立刚,21B2103中,"6-8,10-14,17-18"
概率论与数理统计,6,6,7,王立刚,21B2086中,14
大学物理Ⅵ（一）,1,8,9,李春燕,21B2104中,2-5
大学物理Ⅵ（一）,1,8,9,王雷,21B2104中,7-9
大学物理Ⅵ（一）,1,8,9,王雷,21B2104中,11-14
大学物理Ⅵ（一）,4,8,9,李春燕,21B2104中,2-5
大学物理Ⅵ（一）,4,8,9,王雷,21B2104中,6-8
大学物理Ⅵ（一）,4,8,9,王雷,21B2104中,9-14
大学物理Ⅵ（一）,7,11,13,张晓峻,逸03大,4
学生心理工作技能,4,11,13,王俊红,21B2079中,3-10
军事理论,2,6,7,刁莹,21B0117中,"2-9,11-18"
C程序与算法设计,2,1,2,张诣涵,11#123大,2-4
C程序与算法设计,4,1,2,张诣涵,11#123大,2-4
C程序与算法设计,5,6,9,张诣涵,11#123大,2-4
材料工程基础,1,1,2,张诣涵,11#122大,2-4
材料工程基础,5,1,2,张诣涵,11#122大,2-4
材料工程基础,6,3,5,张诣涵,11#122大,2-4
